test_taker_id,speech_prompt,essay_prompt,L1
00160,P6,P5,JPN
00161,P3,P4,GER
00162,P8,P7,HIN
00163,P1,P2,TEL
00164,P1,P2,CHI
00165,P6,P5,ITA
00166,P1,P2,GER
00167,P9,P0,KOR
00169,P6,P5,TUR
00170,P6,P5,FRE
00171,P7,P6,TEL
00173,P7,P6,SPA
00174,P8,P7,CHI
00175,P6,P5,TUR
00176,P6,P5,TEL
00177,P8,P7,TUR
00179,P9,P0,CHI
00180,P8,P7,FRE
00181,P6,P5,GER
00182,P9,P0,GER
00183,P3,P4,ITA
00184,P1,P2,SPA
00186,P3,P4,HIN
00187,P1,P2,JPN
00188,P7,P6,TUR
00189,P4,P1,CHI
00191,P6,P5,TUR
00192,P1,P2,TUR
00193,P4,P1,TUR
00194,P4,P1,SPA
00195,P1,P2,HIN
00196,P8,P7,HIN
00198,P1,P2,TUR
00200,P1,P2,FRE
00201,P7,P6,JPN
00203,P6,P5,ARA
00204,P3,P4,ITA
00205,P3,P4,TUR
00206,P9,P0,TEL
00207,P3,P4,KOR
00208,P9,P0,ITA
00209,P8,P7,JPN
00210,P2,P3,TEL
00211,P6,P5,JPN
00212,P2,P3,KOR
00213,P2,P3,KOR
00214,P9,P0,ARA
00216,P8,P7,HIN
00217,P7,P6,FRE
00218,P2,P3,TEL
00219,P1,P2,SPA
00220,P3,P4,GER
00222,P3,P4,SPA
00223,P2,P3,FRE
00224,P8,P7,GER
00225,P3,P4,KOR
00226,P6,P5,GER
00227,P7,P6,KOR
00228,P1,P2,FRE
00229,P3,P4,HIN
00230,P7,P6,ARA
00232,P4,P1,CHI
00233,P4,P1,ARA
00234,P9,P0,JPN
00235,P8,P7,CHI
00236,P4,P1,CHI
00237,P3,P4,HIN
00238,P6,P5,KOR
00239,P4,P1,CHI
00240,P8,P7,SPA
00242,P8,P7,ARA
00243,P3,P4,ITA
00244,P3,P4,TUR
00245,P2,P3,GER
00246,P3,P4,ARA
00247,P2,P3,ITA
00248,P8,P7,SPA
00249,P7,P6,TUR
00250,P6,P5,TEL
00251,P2,P3,ARA
00252,P4,P1,JPN
00253,P7,P6,GER
00254,P1,P2,JPN
00255,P3,P4,FRE
00256,P7,P6,ITA
00257,P6,P5,HIN
00258,P3,P4,HIN
00259,P6,P5,TEL
00261,P1,P2,SPA
00262,P1,P2,FRE
00263,P3,P4,FRE
00266,P8,P7,JPN
00267,P4,P1,JPN
00268,P6,P5,TUR
00269,P1,P2,ITA
00270,P3,P4,GER
00271,P3,P4,HIN
00272,P9,P0,JPN
00273,P2,P3,CHI
00274,P7,P6,CHI
00275,P3,P4,TEL
00276,P2,P3,ARA
00277,P8,P7,FRE
00278,P7,P6,KOR
00279,P1,P2,SPA
00280,P3,P4,GER
00281,P2,P3,ARA
00283,P9,P0,JPN
00284,P6,P5,CHI
00285,P4,P1,SPA
00286,P3,P4,SPA
00287,P1,P2,ITA
00288,P1,P2,FRE
00291,P6,P5,JPN
00292,P1,P2,TEL
00294,P3,P4,KOR
00295,P6,P5,TEL
00296,P8,P7,ARA
00297,P7,P6,TUR
00298,P8,P7,KOR
00300,P8,P7,JPN
00302,P9,P0,TUR
00306,P1,P2,GER
00308,P6,P5,HIN
00309,P7,P6,KOR
00310,P6,P5,TEL
00311,P7,P6,TEL
00312,P7,P6,HIN
00314,P9,P0,ARA
00315,P6,P5,ITA
00316,P9,P0,HIN
00317,P9,P0,TEL
00318,P2,P3,FRE
00319,P9,P0,FRE
00320,P6,P5,ITA
00321,P9,P0,ARA
00322,P7,P6,ITA
00323,P3,P4,CHI
00324,P8,P7,CHI
00326,P3,P4,TUR
00327,P8,P7,KOR
00328,P8,P7,TUR
00329,P3,P4,CHI
00330,P1,P2,GER
00331,P6,P5,TEL
00332,P4,P1,TUR
00335,P9,P0,ARA
00336,P6,P5,CHI
00337,P1,P2,FRE
00338,P3,P4,ITA
00339,P6,P5,KOR
00340,P6,P5,HIN
00341,P3,P4,JPN
00342,P8,P7,KOR
00343,P6,P5,TUR
00344,P3,P4,FRE
00345,P9,P0,ITA
00346,P6,P5,FRE
00349,P9,P0,ARA
00351,P9,P0,CHI
00356,P1,P2,ARA
00357,P8,P7,GER
00358,P2,P3,SPA
00359,P1,P2,SPA
00361,P4,P1,KOR
00362,P7,P6,ARA
00363,P9,P0,SPA
00364,P3,P4,GER
00365,P7,P6,TEL
00367,P4,P1,JPN
00368,P1,P2,SPA
00369,P8,P7,GER
00370,P3,P4,JPN
00371,P7,P6,CHI
00372,P4,P1,HIN
00373,P4,P1,TEL
00374,P6,P5,GER
00375,P4,P1,JPN
00376,P9,P0,JPN
00377,P3,P4,TUR
00378,P8,P7,TEL
00380,P9,P0,TUR
00381,P1,P2,FRE
00382,P4,P1,JPN
00383,P8,P7,FRE
00386,P9,P0,JPN
00387,P6,P5,CHI
00388,P7,P6,JPN
00389,P7,P6,JPN
00390,P7,P6,TEL
00393,P1,P2,CHI
00394,P1,P2,TEL
00395,P3,P4,GER
00396,P4,P1,ARA
00397,P3,P4,HIN
00398,P6,P5,ITA
00399,P3,P4,KOR
00400,P6,P5,CHI
00401,P3,P4,JPN
00402,P9,P0,FRE
00404,P1,P2,ITA
00405,P4,P1,JPN
00406,P7,P6,SPA
00407,P7,P6,ITA
00408,P4,P1,CHI
00409,P8,P7,TUR
00410,P1,P2,TUR
00411,P2,P3,SPA
00412,P1,P2,ARA
00413,P3,P4,CHI
00414,P2,P3,SPA
00415,P7,P6,JPN
00416,P9,P0,SPA
00417,P2,P3,TEL
00418,P9,P0,HIN
00419,P8,P7,JPN
00420,P2,P3,TEL
00421,P6,P5,HIN
00422,P4,P1,FRE
00424,P3,P4,CHI
00425,P3,P4,TEL
00426,P2,P3,TEL
00427,P7,P6,JPN
00429,P3,P4,KOR
00430,P8,P7,ARA
00431,P8,P7,CHI
00433,P8,P7,ITA
00434,P8,P7,ITA
00435,P1,P2,TUR
00436,P4,P1,HIN
00437,P3,P4,FRE
00438,P1,P2,FRE
00439,P7,P6,CHI
00440,P8,P7,SPA
00441,P2,P3,ITA
00442,P8,P7,HIN
00443,P1,P2,TUR
00444,P3,P4,ITA
00445,P9,P0,TUR
00446,P8,P7,TUR
00448,P8,P7,ARA
00449,P1,P2,GER
00450,P3,P4,TEL
00452,P8,P7,JPN
00453,P8,P7,ARA
00454,P8,P7,TUR
00455,P1,P2,TUR
00456,P7,P6,CHI
00457,P4,P1,TUR
00459,P1,P2,TUR
00460,P2,P3,CHI
00461,P6,P5,KOR
00462,P4,P1,JPN
00463,P9,P0,ITA
00464,P7,P6,FRE
00465,P8,P7,FRE
00466,P2,P3,JPN
00467,P3,P4,TUR
00468,P3,P4,KOR
00469,P3,P4,TUR
00470,P3,P4,ITA
00471,P4,P1,JPN
00472,P7,P6,GER
00473,P3,P4,TEL
00474,P3,P4,CHI
00475,P3,P4,TEL
00476,P9,P0,TUR
00477,P3,P4,ARA
00478,P6,P5,KOR
00479,P3,P4,SPA
00480,P9,P0,TUR
00481,P1,P2,HIN
00482,P8,P7,JPN
00484,P2,P3,GER
00485,P2,P3,TEL
00486,P1,P2,TUR
00487,P2,P3,ITA
00488,P6,P5,ITA
00490,P7,P6,JPN
00492,P6,P5,SPA
00493,P9,P0,JPN
00494,P8,P7,CHI
00495,P1,P2,ARA
00496,P9,P0,ARA
00497,P1,P2,TEL
00498,P2,P3,TUR
00500,P1,P2,TEL
00501,P3,P4,FRE
00502,P6,P5,KOR
00503,P7,P6,JPN
00504,P9,P0,SPA
00505,P1,P2,ARA
00506,P9,P0,CHI
00507,P8,P7,FRE
00508,P6,P5,TEL
00509,P9,P0,TUR
00510,P3,P4,HIN
00511,P6,P5,FRE
00512,P6,P5,FRE
00514,P1,P2,SPA
00515,P1,P2,JPN
00516,P2,P3,ITA
00518,P3,P4,JPN
00519,P2,P3,KOR
00520,P6,P5,HIN
00522,P8,P7,TUR
00523,P8,P7,HIN
00524,P7,P6,ARA
00525,P3,P4,FRE
00526,P9,P0,TUR
00527,P3,P4,TUR
00528,P4,P1,KOR
00529,P3,P4,HIN
00530,P9,P0,CHI
00531,P8,P7,CHI
00533,P2,P3,FRE
00534,P1,P2,KOR
00535,P6,P5,TEL
00536,P4,P1,JPN
00537,P9,P0,KOR
00538,P1,P2,KOR
00540,P6,P5,FRE
00541,P8,P7,CHI
00542,P8,P7,JPN
00543,P8,P7,TUR
00544,P2,P3,ARA
00546,P8,P7,TUR
00547,P3,P4,ITA
00548,P2,P3,TEL
00549,P9,P0,CHI
00550,P3,P4,ITA
00551,P9,P0,FRE
00552,P1,P2,SPA
00554,P8,P7,TEL
00555,P7,P6,JPN
00556,P9,P0,SPA
00557,P1,P2,GER
00558,P3,P4,ARA
00559,P3,P4,ARA
00560,P2,P3,ARA
00561,P2,P3,CHI
00562,P9,P0,JPN
00563,P9,P0,KOR
00564,P3,P4,ITA
00565,P6,P5,ITA
00567,P8,P7,TEL
00568,P2,P3,GER
00569,P6,P5,KOR
00570,P9,P0,KOR
00571,P7,P6,CHI
00572,P9,P0,SPA
00573,P6,P5,ARA
00575,P1,P2,TEL
00576,P9,P0,GER
00577,P8,P7,FRE
00578,P2,P3,KOR
00579,P2,P3,TEL
00580,P6,P5,HIN
00581,P9,P0,CHI
00582,P2,P3,GER
00584,P6,P5,SPA
00585,P7,P6,ITA
00586,P8,P7,TEL
00587,P1,P2,TEL
00588,P7,P6,GER
00589,P1,P2,GER
00590,P2,P3,SPA
00591,P7,P6,TEL
00592,P2,P3,FRE
00593,P9,P0,KOR
00594,P6,P5,HIN
00595,P9,P0,CHI
00596,P2,P3,KOR
00597,P7,P6,TEL
00598,P2,P3,TEL
00599,P3,P4,ITA
00601,P6,P5,HIN
00602,P7,P6,HIN
00603,P7,P6,KOR
00604,P1,P2,ARA
00605,P9,P0,GER
00606,P3,P4,ITA
00608,P6,P5,SPA
00609,P1,P2,CHI
00610,P9,P0,HIN
00611,P1,P2,KOR
00612,P2,P3,TEL
00613,P1,P2,KOR
00614,P8,P7,ITA
00615,P3,P4,ARA
00616,P3,P4,ITA
00617,P1,P2,CHI
00618,P3,P4,HIN
00619,P3,P4,HIN
00621,P8,P7,FRE
00622,P1,P2,KOR
00623,P6,P5,KOR
00625,P6,P5,JPN
00626,P4,P1,TUR
00627,P2,P3,SPA
00628,P6,P5,CHI
00629,P9,P0,SPA
00630,P7,P6,TEL
00631,P1,P2,TUR
00632,P2,P3,CHI
00633,P6,P5,ITA
00634,P6,P5,FRE
00635,P3,P4,ITA
00636,P1,P2,HIN
00638,P1,P2,KOR
00639,P6,P5,ITA
00640,P3,P4,ITA
00641,P9,P0,TUR
00642,P1,P2,TUR
00643,P8,P7,HIN
00644,P2,P3,HIN
00645,P7,P6,GER
00646,P1,P2,FRE
00647,P8,P7,TUR
00648,P9,P0,GER
00650,P1,P2,ITA
00651,P9,P0,SPA
00652,P3,P4,FRE
00653,P6,P5,HIN
00655,P7,P6,ARA
00656,P2,P3,SPA
00658,P8,P7,SPA
00660,P1,P2,FRE
00661,P2,P3,TEL
00662,P7,P6,KOR
00663,P4,P1,CHI
00664,P6,P5,SPA
00665,P1,P2,GER
00666,P7,P6,ARA
00667,P9,P0,TEL
00668,P2,P3,HIN
00669,P2,P3,CHI
00670,P2,P3,JPN
00672,P9,P0,JPN
00673,P9,P0,JPN
00674,P3,P4,FRE
00675,P1,P2,SPA
00677,P7,P6,KOR
00678,P3,P4,TEL
00679,P7,P6,HIN
00680,P8,P7,JPN
00681,P3,P4,HIN
00682,P3,P4,HIN
00683,P9,P0,ITA
00684,P3,P4,TUR
00685,P8,P7,ARA
00686,P6,P5,ITA
00687,P4,P1,KOR
00689,P1,P2,CHI
00691,P3,P4,SPA
00692,P6,P5,SPA
00694,P8,P7,JPN
00696,P1,P2,TEL
00697,P9,P0,ARA
00698,P6,P5,ITA
00699,P2,P3,HIN
00700,P2,P3,TUR
00701,P2,P3,ITA
00703,P8,P7,JPN
00704,P3,P4,HIN
00706,P9,P0,GER
00707,P3,P4,TEL
00708,P6,P5,FRE
00709,P4,P1,CHI
00710,P2,P3,TUR
00711,P1,P2,ARA
00712,P6,P5,JPN
00713,P7,P6,HIN
00714,P2,P3,TUR
00716,P7,P6,GER
00717,P7,P6,GER
00718,P7,P6,KOR
00719,P2,P3,JPN
00720,P6,P5,HIN
00721,P9,P0,CHI
00722,P4,P1,JPN
00723,P7,P6,FRE
00724,P1,P2,SPA
00725,P3,P4,GER
00727,P1,P2,ITA
00728,P3,P4,JPN
00729,P1,P2,HIN
00730,P3,P4,GER
00732,P6,P5,JPN
00733,P3,P4,TUR
00735,P3,P4,ITA
00736,P9,P0,GER
00738,P3,P4,TEL
00739,P9,P0,FRE
00740,P3,P4,FRE
00741,P1,P2,CHI
00742,P7,P6,ITA
00743,P4,P1,ARA
00744,P6,P5,SPA
00745,P8,P7,HIN
00747,P9,P0,CHI
00749,P8,P7,TEL
00750,P3,P4,SPA
00751,P9,P0,JPN
00752,P3,P4,ARA
00753,P2,P3,JPN
00754,P1,P2,KOR
00755,P2,P3,ITA
00756,P6,P5,ITA
00757,P1,P2,HIN
00759,P7,P6,TEL
00761,P6,P5,JPN
00763,P2,P3,GER
00764,P6,P5,TEL
00765,P2,P3,ITA
00766,P1,P2,HIN
00767,P8,P7,CHI
00768,P2,P3,TUR
00769,P2,P3,KOR
00770,P6,P5,TEL
00773,P6,P5,SPA
00774,P8,P7,ARA
00775,P1,P2,JPN
00776,P8,P7,JPN
00777,P1,P2,HIN
00778,P3,P4,HIN
00779,P1,P2,CHI
00780,P2,P3,TUR
00781,P9,P0,GER
00782,P9,P0,ARA
00783,P6,P5,SPA
00785,P3,P4,ARA
00787,P4,P1,JPN
00791,P9,P0,ARA
00792,P6,P5,FRE
00793,P2,P3,CHI
00794,P3,P4,KOR
00795,P6,P5,FRE
00796,P4,P1,ARA
00797,P2,P3,FRE
00799,P7,P6,HIN
00800,P6,P5,HIN
00801,P8,P7,SPA
00804,P8,P7,HIN
00805,P6,P5,TEL
00806,P6,P5,FRE
00807,P4,P1,KOR
00808,P8,P7,TUR
00809,P6,P5,TUR
00810,P9,P0,ARA
00811,P9,P0,JPN
00812,P7,P6,TEL
00813,P9,P0,ITA
00814,P9,P0,FRE
00815,P3,P4,TEL
00817,P9,P0,FRE
00818,P4,P1,JPN
00819,P1,P2,TUR
00820,P1,P2,KOR
00822,P3,P4,JPN
00826,P2,P3,CHI
00827,P6,P5,SPA
00828,P6,P5,SPA
00829,P1,P2,FRE
00830,P1,P2,GER
00831,P7,P6,CHI
00832,P1,P2,ITA
00833,P3,P4,HIN
00834,P1,P2,JPN
00836,P9,P0,FRE
00837,P3,P4,TUR
00839,P7,P6,CHI
00840,P3,P4,TEL
00841,P8,P7,JPN
00842,P4,P1,FRE
00843,P7,P6,GER
00844,P1,P2,TEL
00845,P6,P5,ARA
00847,P2,P3,JPN
00848,P7,P6,ITA
00849,P7,P6,KOR
00850,P6,P5,ARA
00851,P7,P6,HIN
00852,P3,P4,SPA
00853,P7,P6,CHI
00854,P1,P2,ARA
00855,P7,P6,HIN
00856,P3,P4,ARA
00857,P1,P2,TUR
00858,P3,P4,SPA
00859,P8,P7,JPN
00860,P9,P0,ITA
00861,P9,P0,FRE
00862,P4,P1,JPN
00863,P3,P4,CHI
00864,P9,P0,CHI
00865,P2,P3,JPN
00866,P8,P7,SPA
00867,P6,P5,TEL
00868,P8,P7,HIN
00869,P8,P7,CHI
00870,P1,P2,KOR
00872,P6,P5,TUR
00873,P8,P7,CHI
00874,P6,P5,ITA
00875,P6,P5,GER
00876,P2,P3,KOR
00877,P9,P0,SPA
00882,P2,P3,HIN
00883,P2,P3,KOR
00885,P7,P6,CHI
00886,P9,P0,FRE
00887,P1,P2,TUR
00888,P1,P2,HIN
00889,P4,P1,KOR
00891,P6,P5,ARA
00892,P8,P7,FRE
00893,P1,P2,HIN
00894,P7,P6,CHI
00895,P7,P6,GER
00896,P9,P0,ITA
00897,P2,P3,SPA
00899,P7,P6,KOR
00900,P6,P5,CHI
00901,P6,P5,ARA
00902,P1,P2,ARA
00903,P9,P0,TUR
00904,P3,P4,TEL
00905,P1,P2,ITA
00907,P1,P2,FRE
00908,P1,P2,FRE
00911,P1,P2,KOR
00912,P2,P3,KOR
00913,P2,P3,GER
00914,P7,P6,TUR
00915,P3,P4,TEL
00916,P3,P4,TEL
00917,P7,P6,JPN
00918,P7,P6,ITA
00919,P3,P4,GER
00920,P6,P5,JPN
00922,P3,P4,ARA
00923,P9,P0,SPA
00924,P7,P6,TEL
00925,P3,P4,TEL
00926,P4,P1,FRE
00927,P9,P0,SPA
00928,P9,P0,JPN
00929,P9,P0,TUR
00930,P8,P7,ARA
00932,P6,P5,TUR
00933,P6,P5,TEL
00934,P1,P2,CHI
00935,P8,P7,TUR
00936,P1,P2,FRE
00937,P3,P4,ARA
00938,P2,P3,FRE
00939,P6,P5,HIN
00940,P6,P5,TUR
00942,P1,P2,KOR
00943,P1,P2,ARA
00944,P6,P5,KOR
00945,P1,P2,HIN
00946,P1,P2,KOR
00947,P9,P0,KOR
00948,P1,P2,GER
00949,P3,P4,GER
00950,P4,P1,CHI
00951,P9,P0,GER
00952,P6,P5,ITA
00953,P8,P7,GER
00954,P7,P6,JPN
00955,P9,P0,HIN
00956,P4,P1,FRE
00957,P8,P7,TEL
00958,P9,P0,SPA
00959,P7,P6,CHI
00960,P8,P7,JPN
00961,P4,P1,TUR
00962,P6,P5,JPN
00963,P3,P4,KOR
00964,P7,P6,GER
00967,P6,P5,JPN
00968,P3,P4,TEL
00969,P1,P2,JPN
00970,P8,P7,JPN
00971,P6,P5,TUR
00972,P1,P2,TUR
00973,P9,P0,CHI
00974,P3,P4,CHI
00975,P2,P3,TUR
00976,P8,P7,FRE
00977,P3,P4,TUR
00978,P4,P1,CHI
00980,P9,P0,JPN
00981,P2,P3,TEL
00982,P1,P2,FRE
00983,P7,P6,HIN
00985,P7,P6,KOR
00986,P8,P7,TUR
00987,P8,P7,FRE
00988,P7,P6,JPN
00989,P9,P0,HIN
00990,P7,P6,TUR
00991,P8,P7,JPN
00992,P1,P2,SPA
00993,P2,P3,KOR
00994,P8,P7,CHI
00995,P3,P4,TUR
00997,P2,P3,HIN
00998,P8,P7,TUR
00999,P2,P3,GER
01000,P1,P2,SPA
01001,P1,P2,TEL
01003,P1,P2,FRE
01004,P3,P4,HIN
01005,P1,P2,GER
01006,P7,P6,GER
01008,P7,P6,TEL
01009,P6,P5,KOR
01010,P2,P3,TEL
01013,P6,P5,KOR
01014,P1,P2,ITA
01015,P3,P4,ITA
01016,P9,P0,HIN
01017,P3,P4,GER
01018,P8,P7,CHI
01019,P2,P3,SPA
01021,P2,P3,SPA
01022,P3,P4,KOR
01023,P6,P5,GER
01025,P3,P4,TUR
01026,P9,P0,FRE
01027,P6,P5,CHI
01029,P6,P5,ARA
01030,P7,P6,HIN
01033,P6,P5,ITA
01034,P1,P2,KOR
01035,P6,P5,ARA
01036,P6,P5,ARA
01038,P7,P6,FRE
01039,P8,P7,KOR
01040,P6,P5,ARA
01041,P6,P5,SPA
01043,P3,P4,GER
01045,P8,P7,FRE
01046,P8,P7,ARA
01047,P9,P0,SPA
01048,P2,P3,SPA
01049,P6,P5,GER
01051,P1,P2,ARA
01052,P7,P6,JPN
01053,P4,P1,TUR
01054,P8,P7,KOR
01055,P8,P7,FRE
01057,P2,P3,KOR
01058,P2,P3,FRE
01059,P2,P3,CHI
01060,P6,P5,TUR
01061,P7,P6,KOR
01062,P2,P3,ITA
01063,P3,P4,ARA
01064,P8,P7,SPA
01065,P1,P2,CHI
01066,P6,P5,TEL
01067,P4,P1,SPA
01068,P6,P5,CHI
01069,P1,P2,KOR
01070,P1,P2,TEL
01071,P2,P3,SPA
01072,P3,P4,FRE
01073,P9,P0,JPN
01074,P8,P7,JPN
01075,P1,P2,CHI
01077,P4,P1,ARA
01080,P3,P4,KOR
01081,P8,P7,KOR
01082,P7,P6,FRE
01083,P2,P3,TUR
01085,P8,P7,HIN
01086,P2,P3,ARA
01087,P8,P7,FRE
01088,P9,P0,FRE
01089,P9,P0,FRE
01091,P6,P5,ARA
01093,P3,P4,TEL
01094,P9,P0,FRE
01097,P4,P1,TUR
01098,P4,P1,JPN
01100,P7,P6,KOR
01101,P8,P7,TUR
01102,P7,P6,ARA
01103,P1,P2,ARA
01105,P4,P1,KOR
01106,P9,P0,JPN
01107,P8,P7,HIN
01108,P6,P5,ITA
01109,P8,P7,GER
01110,P1,P2,ITA
01111,P9,P0,FRE
01112,P8,P7,CHI
01113,P7,P6,SPA
01114,P9,P0,ARA
01115,P8,P7,SPA
01116,P1,P2,TEL
01117,P1,P2,SPA
01118,P2,P3,HIN
01119,P7,P6,ARA
01120,P9,P0,FRE
01121,P9,P0,TUR
01122,P2,P3,TUR
01123,P2,P3,CHI
01124,P6,P5,ARA
01125,P2,P3,SPA
01126,P3,P4,HIN
01127,P7,P6,TUR
01129,P4,P1,HIN
01130,P2,P3,ITA
01132,P8,P7,JPN
01133,P1,P2,SPA
01134,P3,P4,TUR
01135,P2,P3,ARA
01138,P4,P1,JPN
01140,P6,P5,GER
01143,P3,P4,ITA
01144,P1,P2,GER
01146,P6,P5,SPA
01147,P8,P7,HIN
01148,P2,P3,TEL
01149,P4,P1,JPN
01150,P2,P3,ARA
01151,P3,P4,ITA
01152,P7,P6,FRE
01153,P9,P0,GER
01154,P8,P7,ARA
01157,P8,P7,GER
01158,P6,P5,ITA
01159,P3,P4,ITA
01160,P7,P6,TEL
01161,P3,P4,ITA
01162,P7,P6,GER
01163,P8,P7,TEL
01165,P2,P3,KOR
01166,P1,P2,FRE
01170,P3,P4,GER
01171,P6,P5,TUR
01172,P6,P5,TUR
01173,P6,P5,JPN
01174,P1,P2,GER
01176,P1,P2,FRE
01177,P1,P2,ITA
01178,P3,P4,TUR
01179,P3,P4,FRE
01182,P9,P0,FRE
01183,P8,P7,TUR
01184,P6,P5,TUR
01185,P8,P7,JPN
01186,P2,P3,JPN
01187,P7,P6,JPN
01188,P1,P2,CHI
01190,P6,P5,HIN
01191,P6,P5,JPN
01192,P2,P3,FRE
01193,P8,P7,KOR
01194,P5,P4,JPN
01196,P4,P1,GER
01197,P3,P4,ITA
01198,P6,P5,TUR
01199,P4,P1,CHI
01200,P7,P6,CHI
01201,P1,P2,TEL
01203,P4,P1,ARA
01204,P2,P3,HIN
01206,P3,P4,KOR
01207,P1,P2,ARA
01209,P1,P2,SPA
01210,P3,P4,KOR
01211,P8,P7,TUR
01212,P1,P2,HIN
01214,P7,P6,HIN
01216,P1,P2,ARA
01217,P2,P3,GER
01218,P2,P3,SPA
01219,P1,P2,TEL
01220,P8,P7,HIN
01221,P2,P3,TUR
01222,P8,P7,ARA
01224,P1,P2,JPN
01225,P7,P6,TUR
01226,P6,P5,ITA
01227,P6,P5,TEL
01228,P1,P2,JPN
01229,P9,P0,GER
01230,P1,P2,ARA
01231,P7,P6,ARA
01232,P3,P4,ITA
01233,P3,P4,SPA
01234,P8,P7,TEL
01235,P3,P4,GER
01236,P6,P5,CHI
01237,P9,P0,SPA
01238,P6,P5,CHI
01240,P9,P0,TUR
01241,P6,P5,FRE
01243,P8,P7,FRE
01244,P3,P4,TUR
01245,P4,P1,SPA
01247,P2,P3,TUR
01249,P4,P1,ARA
01250,P3,P4,KOR
01251,P3,P4,KOR
01252,P1,P2,FRE
01253,P2,P3,SPA
01255,P6,P5,TUR
01257,P6,P5,KOR
01258,P4,P1,JPN
01259,P9,P0,JPN
01260,P7,P6,FRE
01262,P2,P3,TUR
01264,P8,P7,SPA
01265,P2,P3,TUR
01268,P4,P1,ARA
01269,P8,P7,CHI
01270,P3,P4,SPA
01271,P8,P7,HIN
01272,P2,P3,CHI
01273,P1,P2,FRE
01274,P6,P5,CHI
01275,P6,P5,TEL
01276,P8,P7,SPA
01279,P8,P7,SPA
01281,P1,P2,SPA
01282,P8,P7,FRE
01284,P9,P0,CHI
01286,P8,P7,KOR
01287,P8,P7,TUR
01288,P1,P2,CHI
01289,P4,P1,JPN
01290,P7,P6,HIN
01291,P4,P1,CHI
01293,P8,P7,TUR
01294,P8,P7,TUR
01295,P3,P4,TUR
01296,P4,P1,SPA
01297,P2,P3,TUR
01298,P8,P7,HIN
01299,P4,P1,ARA
01300,P9,P0,GER
01301,P7,P6,TUR
01302,P9,P0,ARA
